Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	12:41:15	1.12	1.15	26904.5	   	   	5.2	5.3	2.1	3.2	2.1	3.3	
02/09/2025	12:31:15	1.15	1.15	26904.3	   	   	5.3	5.3	2.1	3.2	2.1	3.3	
02/09/2025	12:21:15	1.12	1.15	26904.2	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	12:11:15	1.12	1.15	26904.0	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	12:01:15	1.12	1.15	26903.8	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:51:15	1.12	1.15	26903.6	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:41:15	1.12	1.15	26903.4	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:31:15	1.12	1.15	26903.2	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:21:15	1.12	1.15	26903.0	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:11:15	1.12	1.15	26902.9	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	11:01:15	1.12	1.15	26902.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	10:51:15	1.12	1.15	26902.5	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	10:41:15	1.12	1.15	26902.3	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
