Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	21:04:49	0.63	0.63	12667.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:54:49	0.63	0.63	12666.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:44:49	0.63	0.63	12666.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:34:49	0.63	0.63	12666.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:24:48	0.63	0.63	12666.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:14:48	0.63	0.63	12666.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	20:04:48	0.63	0.63	12666.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:54:48	0.63	0.63	12666.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:44:48	0.63	0.63	12666.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:34:48	0.63	0.63	12666.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:24:48	0.63	0.63	12665.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:14:48	0.63	0.63	12665.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	19:04:48	0.63	0.63	12665.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:54:48	0.63	0.63	12665.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:44:48	0.63	0.63	12665.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:34:48	0.63	0.63	12665.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:24:48	0.63	0.63	12665.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:14:48	0.63	0.63	12665.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	18:04:48	0.63	0.63	12665.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:54:48	0.63	0.63	12665.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:44:48	0.63	0.63	12664.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:34:48	0.63	0.63	12664.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:24:47	0.63	0.63	12664.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:14:47	0.63	0.63	12664.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	17:04:47	0.63	0.63	12664.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:54:47	0.63	0.63	12664.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:44:47	0.63	0.63	12664.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:34:47	0.63	0.63	12664.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:24:47	0.63	0.63	12664.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:14:47	0.63	0.63	12664.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	16:04:47	0.63	0.63	12663.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	15:54:47	0.63	0.63	12663.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	15:44:47	0.63	0.63	12663.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
